CMTE_ID,CMTE_NM,CMTE_CITY,CMTE_ST,CMTE_ZIP,CAND_ID,FEC_ELECTION_YR
C00226928,PALLONE FOR CONGRESS,LONG BRANCH,NJ,7740,H8NJ03073,2020
C00554113,RATCLIFFE FOR CONGRESS,ROCKWALL,TX,750326684,H4TX04153,2020
C00290064,DOYLE FOR CONGRESS COMMITTEE,PITTSBURGH,PA,152214400,H4PA18131,2020
C00546358,ALMA ADAMS FOR CONGRESS,CHARLOTTE,NC,28231,H4NC12100,2020
C00550707,FRIENDS OF HAGEDORN,MANKATO,MN,560017778,H0MN01045,2020
C00286187,THORNBERRY FOR CONGRESS COMMITTEE,AMARILLO,TX,791059392,H4TX13014,2020
C00286500,DOGGETT FOR CONGRESS,AUSTIN,TX,78763,H4TX10028,2020
C00647925,KEIRSTEAD FOR CONGRESS,LAGUNA BEACH,CA,92652,H8CA48076,2020
C00255562,FRIENDS OF JIM CLYBURN,COLUMBIA,SC,29211,H2SC02042,2020
C00257337,KEN CALVERT FOR CONGRESS COMMITTEE,CORONA,CA,92877,H2CA37023,2020
C00258475,ANNA ESHOO FOR CONGRESS,SACRAMENTO,CA,95814,H8CA12098,2020
C00287904,SHEILA JACKSON LEE FOR CONGRESS,HOUSTON,TX,77004,H4TX18054,2020
C00287912,LUCAS FOR CONGRESS,OKLAHOMA CITY,OK,731011726,H4OK06056,2020
C00700344,BIGGAN FOR CONGRESS,BEDFORD,TX,76095,H8TX24111,2020
C00238865,FRIENDS OF ROSA DELAURO,NEW HAVEN,CT,6510,H0CT03072,2020
C00240986,SERRANO FOR CONGRESS,WASHINGTON,DC,20013,H0NY18065,2020
C00519355,DONALD M PAYNE JR FOR CONGRESS,NEWARK,NJ,7114,H2NJ10154,2020
C00593525,ESPAILLAT FOR CONGRESS 2016,NEW YORK,NY,10034,H2NY13096,2020
C00520379,COLLINS FOR CONGRESS,CLARENCE,NY,140310386,H8NY29032,2020
C00693556,CITIZENS FOR MATT QUIGLEY,AURORA,IL,60502,H0IL14148,2020
C00590810,PATTERSON FOR CONGRESS,ATCO,NJ,8004,H0NJ02148,2020
C00215905,DEFAZIO FOR CONGRESS,SPRINGFIELD,OR,97477,H6OR04047,2020
C00273169,MALONEY FOR CONGRESS,NEW YORK,NY,10128,H2NY14037,2020
C00685743,EMANUEL GONZALES COMMITTEE TO ELECT FOR CONGRESS,BALDWIN PARK,CA,91706,H0CA32333,2020
C00607432,BAUGH FOR CONGRESS,NEWPORT BEACH,CA,92660,H6CA48245,2020
C00665612,BRANDON PETERS FOR U.S. CONGRESS,WILLISTON,FL,32696,H8FL02105,2020
C00709204,ALEXANDRA OWENSBY FOR THE PEOPLE,FORT THOMAS,KY,41075,H0KY04117,2020
C00692061,BIMAL FOR CONGRESS,HOUSTON,TX,77006,H0TX18243,2020
C00694711,MARCHANT FOR CONGRESS,LAS VEGAS,NV,89107,H0NV04015,2020
C00654525,TRACY MITRANO FOR CONGRESS,PENN YAN,NY,14527,H8NY23183,2020
C00654723,MEUSER FOR CONGRESS,HARRISBURG,PA,171081512,H8PA10147,2020
C00696708,OROZCO2020 COMMITTEE FOR,HOUSTON,TX,77004,H0TX18250,2020
C00662619,ANDY LEVIN FOR CONGRESS,CLINTON TOWNSHIP,MI,48038,H8MI09118,2020
C00662650,BALDERSON FOR CONGRESS,COLUMBUS,OH,432208113,H8OH12180,2020
C00703553,ELECT ZACH SMITH FOR CONGRESS,ZEPHYRHILLS,FL,33541,H0FL12176,2020
C00704056,KENNETH MORGAN FOR CONGRESS,CHESAPEAKE,OH,45619,H0OH06221,2020
C00668558,WOODSMALL FOR CONGRESS,PISGAH FOREST,NC,28768,H8NC11129,2020
C00639450,ELLIS FOR CONGRESS,FESTUS,MO,63028,H8MO08098,2020
C00660050,COMMITTEE TO RE-ELECT STEVE WATKINS,TOPEKA,KS,66604,H8KS02199,2020
C00662940,ELECT JIM BAIRD FOR CONGRESS,GREENCASTLE,IN,46135,H8IN04199,2020
C00663914,DEBBIE LESKO FOR CONGRESS,PHOENIX,AZ,85064,H8AZ08158,2020
C00700500,SHUBERT FOR US CONGRESS,MARSHVILLE,NC,28103,H0NC09195,2020
C00698704,RIVERA ELECTION COMMITTEE,DOWNEY,CA,90241,H0CA40104,2020
C00667808,"COMMITTEE TO ELECT GEORGE BUCK, PHD",ST. PETERSBURG,FL,33734,H8FL13136,2020
C00668228,NEVADANS FOR STEVEN HORSFORD,NORTH LAS VEGAS,NV,89033,H2NV04011,2020
C00701607,BELSITO FOR CONGRESS,TOPSFIELD,MA,1983,H0MA06098,2020
C00668491,WILLIAM TIMMONS FOR CONGRESS,GREENVILLE,SC,29602,H8SC04250,2020
C00600718,DAVIDSON FOR CONGRESS,TROY,OH,453730518,H6OH08315,2020
C00709196,BOWMAN FOR CONGRESS,BRONXVILLE,NY,10708,H0NY16143,2020
C00697557,JEFF MOORE FOR CONGRESS,RALEIGH,NC,27605,H0NC03164,2020
C00698084,JOSEPH MORGAN FOR CONGRESS,TUCSON,AZ,85732,H0AZ02182,2020
C00664409,AUDREY DENNEY FOR CONGRESS,CHICO,CA,95927,H8CA01257,2020
C00664466,BROWNING FOR CONGRESS,ALLENTOWN,PA,18104,H8PA15260,2020
C00634337,IRINA BARONESS VON BEHR FOR US CONGRESS,TEMPE,AZ,85284,H8AZ09016,2020
C00640896,WILL FISHER FOR CONGRESS,FLOWER MOUND,TX,75022,H8TX26082,2020
C00655332,CLOUD FOR CONGRESS,VICTORIA,TX,77903,H8TX27049,2020
C00655183,FRIENDS OF DANA BALTER,SYRACUSE,NY,13205,H8NY24090,2020
C00655571,YVETTE4CONGRESS,ALAMOGORDO,NM,883106413,H8NM02156,2020
C00655613,SUSIE LEE FOR CONGRESS,LAS VEGAS,NV,89148,H6NV04020,2020
C00666149,XOCHITL FOR NEW MEXICO,LAS CRUCES,NM,88004,H8NM02248,2020
C00666396,MICHAEL WALTZ FOR CONGRESS,ST AUGUSTINE,FL,32080,H8FL06148,2020
C00660464,CHRIS PAPPAS FOR CONGRESS,MANCHESTER,NH,3105,H8NH01210,2020
C00660472,ELECT CAROLYN LONG,VANCOUVER,WA,98682,H8WA03198,2020
C00660555,SYLVIA GARCIA FOR CONGRESS,HOUSTON,TX,77249,H8TX29052,2020
C00661637,JOHN MCCANN FOR CONGRESS 2018,HACKENSACK,NJ,7602,H8NJ05136,2020
C00705343,"FLOYD FOR CONGRESS, INC.",LAWRENCEVILLE,GA,30046,H0GA07240,2020
C00706275,PALLOTTA FOR CONGRESS,SOMERVILLE,NJ,8876,H0NJ05174,2020
C00664862,JAYESUN SHERMAN FOR US CONGRESS FINANCE,WINDOM,MN,56101,H8MN07102,2020
C00665638,YOUNG KIM FOR CONGRESS,FULLERTON,CA,92837,H8CA39240,2020
C00656686,TOM MALINOWSKI FOR CONGRESS,SOMERVILLE,NJ,8876,H8NJ07223,2020
C00670034,SHARICE FOR CONGRESS,SHAWNEE,KS,66216,H8KS03155,2020
C00670489,MAYOR BILL WELLS FOR CONGRESS,LA MESA,CA,91942,H8CA50163,2020
C00670547,ARMSTRONG FOR CONGRESS,BISMARCK,ND,58503,H8ND00096,2020
C00692533,NIZAHON FOR CONGRESS,SUNRISE,FL,33351,H0FL23058,2020
C00660795,DAN CRENSHAW FOR CONGRESS,HOUSTON,TX,77243,H8TX02166,2020
C00661561,"BEN CLINE FOR CONGRESS, INC.",HARRISONBURG,VA,22803,H8VA06104,2020
C00661777,CHUY GARCIA FOR CONGRESS,MELROSE PARK,IL,60160,H8IL04134,2020
C00666859,MARYOTT FOR CONGRESS,SANJUANCAPISTRANO,CA,92675,H8CA49108,2020
C00674788,ROCHESTER FOR ROBIN,ROCHESTER,NY,14610,H8NY25113,2020
C00667741,THE COMMITTEE TO ELECT AYANNA PRESSLEY,DORCHESTER CENTER,MA,2124,H8MA07032,2020
C00658567,SUSAN WILD FOR CONGRESS,ALLENTOWN,PA,18104,H8PA15229,2020
C00657304,STANTON FOR CONGRESS,PHOENIX,AZ,85018,H8AZ09040,2020
C00657361,MARTER FOR CONGRESS,OSWEGO,IL,60543,H8IL16153,2020
C00657833,GUY FOR CONGRESS,PITTSBURGH,PA,15222,H8PA18199,2020
C00658385,MARK GREEN FOR CONGRESS,BRENTWOOD,TN,37024,H8TN07076,2020
C00658401,GREG PENCE FOR CONGRESS,TAYLORSVILLE,IN,47280,H8IN06129,2020
C00665752,FRIENDS OF MICHAEL GUEST,BRANDON,MS,39043,H8MS03125,2020
C00665653,FRIENDS OF VENNIA FRANCOIS FOR CONGRESS,TAMPA,FL,33606,H8FL07088,2020
C00661868,VAN DREW FOR CONGRESS,CAPE MAY COURT HOUSE,NJ,8210,H8NJ02166,2020
C00662171,RON WRIGHT FOR CONGRESS,ARLINGTON,TX,76017,H8TX06233,2020
C00445023,GUTHRIE FOR CONGRESS,BOWLING GREEN,KY,421029639,H8KY02031,2020
C00662601,LANCE GOODEN FOR CONGRESS COMMITTEE,TERRELL,TX,75160,H8TX05144,2020
C00672295,FRIENDS OF LUCY MCBATH,ROSWELL,GA,30075,H8GA06393,2020
C00672311,DONNA SHALALA FOR CONGRESS,WASHINGTON,DC,20003,H8FL27193,2020
C00653923,VERONICA ESCOBAR FOR CONGRESS,EL PASO,TX,79923,H8TX16109,2020
C00653816,COMMITTEE TO ELECT JARED GOLDEN,LEWISTON,ME,4240,H8ME02185,2020
C00654079,ANTHONY GONZALEZ FOR CONGRESS ,DUBLIN,OH,43017,H8OH16124,2020
C00708859,ALP BASARAN FOR CONGRESS A NJ NONPROFIT CORPORATION,FORT LEE,NJ,7024,H0NJ09184,2020
C00708867,CAMPAIGN TO ELECT JAMES AVERHART,MOBILE,AL,36602,H0AL01097,2020
C00624346,MARY ANN LUTZ FOR CONGRESS,ROSEVILLE,CA,95661,H8CA32062,2020
C00649392,GREG SAGAN FOR CONGRESS,AMARILLO,TX,79124,H8TX13163,2020
C00646455,ANDREW LEARNED FOR CONGRESS,VALRICO,FL,33596,H8FL15180,2020
C00708669,JAMES WATERS FOR CONGRESS,ANAHEIM,CA,92814,H0CA46077,2020
C00703769,MIGUEL HERNANDEZ FOR US CONGRESS,NEW YORK,NY,10028,H0NY14239,2020
C00700880,APPLEFIELD4CONGRESS,RED BANK,NJ,7701,H0NJ04128,2020
C00588558,JAN MCDOWELL FOR CONGRESS,CARROLLTON,TX,75007,H6TX24149,2020
C00578567,KEEP AL GREEN IN CONGRESS,HOUSTON,TX,77256,H4TX09095,2020
C00576041,SALUD CARBAJAL FOR CONGRESS,SANTA BARBARA,CA,93102,H6CA24303,2020
C00576173,KANSANS FOR MARSHALL,GREAT BEND,KS,67530,H6KS01179,2020
C00703025,ZACH FOR NEVADA,BEVERLY,MA,1915,H0NV03108,2020
C00581074,DARREN SOTO FOR CONGRESS,KISSIMMEE,FL,34742,H6FL09179,2020
C00581926,FRIENDS OF DENA,ORLANDO,FL,32835,H6FL09187,2020
C00582304,FRIENDS OF NEAL DUNN,PANAMA CITY,FL,32406,H6FL02208,2020
C00582890,TOM O'HALLERAN FOR CONGRESS,PHOENIX,AZ,85082,H6AZ01199,2020
C00404335,WILDES FOR CONGRESS,ENGLEWOOD,NJ,7631,H4NJ09095,2020
C00657981,FRIENDS OF STEVE NEGRON,ALEXANDRIA,VA,22313,H8NH02275,2020
C00658070,NEW YORKERS AND FRIENDS FOR HOLLY LYNCH,NEW YORK,NY,10023,H8NY10081,2020
C00635722,ESPAILLAT FOR CONGRESS 2018,NEW YORK,NY,10034,H2NY13096,2020
C00605592,PRAMILA FOR CONGRESS,SEATTLE,WA,98111,H6WA07458,2020
C00410753,SIRES FOR CONGRESS,WEST NEW YORK,NJ,7093,H6NJ13191,2020
C00628917,FRIENDS OF DUSTY JOHNSON,MITCHELL,SD,57301,H8SD01055,2020
C00629659,JIMMY GOMEZ FOR CONGRESS,LOS ANGELES,CA,90017,H8CA34266,2020
C00610071,HUGHES FOR CONGRESS,KARLSTAD,MN,56732,H6MN07304,2020
C00615294,CITIZENS FOR JOHN RUTHERFORD,JACKSONVILLE,FL,322578210,H6FL04105,2020
C00649376,CAROLYN FOR CONGRESS,SUWANEE,GA,30024,H8GA07201,2020
C00649806,COMMITTEE TO ELECT DAVID WILSON BROWN,MCADENVILLE,NC,28101,H8NC10097,2020
C00649913,SPANBERGER FOR CONGRESS,GLEN ALLEN,VA,23058,H8VA07094,2020
C00649210,JENNIE LOU LEEDER FOR UNITED STATES CONGRESS,LLANO,TX,78643,H8TX11100,2020
C00588392,TODOS CON JENNIFFER INC.  DBA JENNIFFER FOR CONGRESS,SAN JUAN,PR,936,H6PR00082,2020
C00588657,TEXANS FOR JODEY ARRINGTON,LUBBOCK,TX,794936687,H6TX19099,2020
C00650911,BRIAN FORDE FOR CONGRESS,TUSTIN,CA,92782,H8CA45189,2020
C00652065,DEBBIE FOR CONGRESS,MIAMI,FL,33256,H8FL26039,2020
C00636092,HERN FOR CONGRESS,TULSA,OK,74132,H8OK01157,2020
C00650507,JOE CUNNINGHAM FOR CONGRESS,CHARLESTON,SC,29413,H8SC01116,2020
C00650648,CISNEROS FOR CONGRESS,PLACENTIA,CA,92871,H8CA39174,2020
C00650697,PETE STAUBER FOR CONGRESS,DULUTH,MN,55811,H8MN08043,2020
C00698431,CELESTE CAIRNS FOR CONGRESS,EMERALD ISLE,NC,28594,H0NC03206,2020
C00671891,GREG STEUBE FOR CONGRESS,SARASOTA,FL,34232,H8FL17053,2020
C00697458,ANDY ROMAGNANO FOR NORTHWEST FLORIDA,PENSACOLA,FL,32513,H0FL01120,2020
C00652149,BURCHETT FOR CONGRESS,KNOXVILLE,TN,37950,H8TN02119,2020
C00652248,MAX ROSE FOR CONGRESS,STATEN ISLAND,NY,10310,H8NY11113,2020
C00632257,MAST FOR CONGRESS,STUART,FL,34995,H6FL18097,2020
C00632885,ANDRE QUINTERO FOR CONGRESS,LONG BEACH,CA,90802,H8CA32070,2020
C00707471,CHRIS TAYLOR FOR ARIZONA,SAFFORD,AZ,85546,H0AZ01366,2020
C00707679,FRICILONEFORCONGRESS,HOMER GLEN,IL,60491,H0IL03117,2020
C00707877,RODNEY L WALKER COMMITTEE TO ELECT,SOUTHERN PINES,NC,28388,H0NC08247,2020
C00699207,ELECT STONY RUSHING,WINGATE,NC,28174,H0NC09179,2020
C00675777,JOE PROFIT FOR CONGRESS LLC,NORCROSS,GA,30092,H8GA04125,2020
C00590067,CHARLIE CRIST FOR CONGRESS,ST. PETERSBURG,FL,33731,H6FL13205,2020
C00590307,NEIGHBORS FOR CANO COMMITTEE,CHARLOTTE,NC,28247,H6NC09184,2020
C00695965,MATHYS FOR CONGRESS,LAS CRUCES,NM,88007,H0NM02211,2020
C00706549,JACKIE GORDON FOR CONGRESS,COPIAGUE,NY,11726,H0NY02192,2020
C00636571,KATIE PORTER FOR CONGRESS,IRVINE,CA,92617,H8CA45130,2020
C00637074,FINKENAUER FOR CONGRESS,DUBUQUE,IA,52004,H8IA01094,2020
C00631762,STEVAN PORTER FOR CONGRESS,HERNDON,VA,20172,H8VA11088,2020
C00634014,JULIA PEACOCK FOR CONGRESS,CORONA,CA,92883,H8CA42228,2020
C00636670,MARIE NEWMAN FOR CONGRESS,LA GRANGE,IL,60525,H8IL03102,2020
C00665216,KATY GEPPERT FOR CONGRESS,ST LOUIS,MO,63118,H8MO03198,2020
C00665695,JAY CHEN FOR CONGRESS,HACIENDA HEIGHTS,CA,91745,H2CA39136,2020
C00652628,DR KIM SCHRIER FOR CONGRESS,ISSAQUAH,WA,98027,H8WA08189,2020
C00652719,LAUREN UNDERWOOD FOR CONGRESS,OSWEGO,IL,60543,H8IL14174,2020
C00661769,JULIE FOR TEXAS 25,AUSTIN,TX,78767,H8TX25159,2020
C00652297,GINA ORTIZ JONES FOR CONGRESS,SAN ANTONIO,TX,78245,H8TX23121,2020
C00697334,MCCORKLE FOR COLORADO,PARKER,CO,80134,H0CO04197,2020
C00401190,BUTTERFIELD FOR CONGRESS,RALEIGH,NC,27601,H4NC01046,2020
C00647131,DAVID KIM FOR CONGRESS,SUWANEE,GA,30024,H8GA07151,2020
C00702001,NEAL GIST CAMPAIGN COMMITTEE,LAURIE,MO,65038,H0MO04219,2020
C00702019,MIKE WILLIAMS FOR CONGRESS,GEORGETOWN,TX,78628,H0TX31048,2020
C00700740,ANGELA FLYNN FOR CONGRESS,PITTSBORO,NC,27312,H0NC06191,2020
C00631945,GREG FOR MONTANA,HELENA,MT,596240877,H8MT01182,2020
C00632067,RON ESTES FOR CONGRESS,WICHITA,KS,672782952,H8KS04112,2020
C00630384,JEFF DOVE FOR CONGRESS,WOODBRIDGE,VA,22194,H8VA11070,2020
C00698373,MARTIN FOR FREEDOM,PHOENIX,AZ,85082,H0AZ02190,2020
C00653196,"DAVID TRONE FOR CONGRESS, INC",GAITHERSBURG,MD,208833998,H6MD08549,2020
C00653220,CAROL FOR CONGRESS,HUNTINGTON,WV,25701,H8WV03097,2020
C00703793,IGNACIO CRUZ FOR CONGRESS,FREMONT,CA,94538,H0CA39114,2020
C00666594,COMMITTEE TO ELECT KIMBERLY BIZON,LEXINGTON,MI,48450,H8MI10108,2020
C00590463,TREY FOR CONGRESS,JEFFERSONVILLE,IN,47130,H6IN09176,2020
C00590489,VAL DEMINGS FOR CONGRESS,ORLANDO,FL,32853,H2FL08063,2020
C00590778,LISA BLUNT ROCHESTER FOR CONGRESS,WILMINGTON,DE,19809,H6DE00206,2020
C00591065,DWIGHT EVANS FOR CONGRESS,PHILADELPHIA,PA,19138,H6PA02171,2020
C00592154,JIMMY PANETTA FOR CONGRESS,CARMEL VALLEY,CA,93924,H6CA20152,2020
C00592659,VICENTE GONZALEZ FOR CONGRESS,MCALLEN,TX,78501,H6TX15162,2020
C00647057,LORIE BURCH FOR CONGRESS,DALLAS,TX,75249,H8TX03099,2020
C00648253,JOE NEGUSE FOR CONGRESS,BOULDER,CO,80306,H8CO02160,2020
C00310318,CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,BALTIMORE,MD,21203,H6MD07160,2020
C00662767,CHIP ROY FOR CONGRESS,AUSTIN,TX,78735,H8TX21307,2020
C00599464,SMUCKER FOR CONGRESS,LANCASTER,PA,17604,H6PA16320,2020
C00607556,LIZ CHENEY FOR WYOMING,CASPER,WY,82602,H6WY00159,2020
C00607838,DREW FERGUSON FOR CONGRESS INC.,NEWNAN,GA,30271,H6GA03113,2020
C00637371,CHRISSY HOULAHAN FOR CONGRESS,DEVON,PA,19333,H8PA06087,2020
C00638023,WEXTON FOR CONGRESS,STERLING,VA,20165,H8VA10106,2020
C00648493,CASTEN FOR CONGRESS,DOWNERS GROVE,IL,60515,H8IL06139,2020
C00648915,KENDRA HORN FOR CONGRESS,OKLAHOMA CITY,OK,73154,H8OK05109,2020
C00648956,TJ COX FOR CONGRESS,SELMA,CA,93662,H8CA10167,2020
C00610451,BIGGS FOR CONGRESS,ALEXANDRIA,VA,22314,H6AZ05083,2020
C00610964,MCEACHIN FOR CONGRESS,RICHMOND,VA,23221,H6VA04061,2020
C00612432,FRIENDS OF MATT GAETZ,MARY ESTER,FL,32569,H6FL01119,2020
C00614214,BERGMANFORCONGRESS,ACME,MI,49610,H6MI01226,2020
C00614776,TED BUDD FOR CONGRESS,RALEIGH,NC,27624,H6NC13129,2020
C00614826,KUSTOFF FOR CONGRESS,MEMPHIS,TN,381201466,H2TN07103,2020
C00383828,CONAWAY FOR CONGRESS,MIDLAND,TX,797101272,H4TX19136,2020
C00633362,"HANDEL FOR CONGRESS, INC.",ALPHARETTA,GA,30005,H8GA06286,2020
C00633610,RALPH NORMAN FOR CONGRESS,ROCK HILL,SC,29732,H8SC05158,2020
C00639591,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,CORONA,NY,11368,H8NY15148,2020
C00640045,ELIZABETH PANNILL FLETCHER FOR CONGRESS,HOUSTON,TX,77098,H8TX07140,2020
C00638650,HALEY STEVENS FOR CONGRESS,BIRMINGHAM,MI,48009,H8MI11254,2020
C00639054,DEB HAALAND FOR CONGRESS,ALBUQUERQUE,NM,87125,H8NM01331,2020
C00639310,EASTMAN FOR CONGRESS,OMAHA,NE,68132,H8NE02220,2020
C00617662,CAPTAIN HIGGINS FOR CONGRESS,LAFAYETTE,LA,70596,H6LA03148,2020
C00618223,ROONEY FOR CONGRESS,TAMPA,FL,33606,H6FL19087,2020
C00620443,STEPHANIE MURPHY FOR CONGRESS,WINTER PARK,FL,32790,H6FL07140,2020
C00633669,BRIANNA WU FOR CONGRESS,DEDHAM,MA,2026,H8MA08170,2020
C00633982,HARLEY ROUDA FOR CONGRESS,NEWPORT BEACH,CA,92660,H8CA48035,2020
C00634212,KATIE HILL FOR CONGRESS,PORTLAND,OR,97202,H8CA25074,2020
C00458679,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,H8MO09153,2020
C00458125,JUDY CHU FOR CONGRESS,ENCINO,CA,91436,H0CA32101,2020
C00458976,TERRI SEWELL FOR CONGRESS,BIRMINGHAM,AL,35201,H0AL07086,2020
C00459099,DELBENE FOR CONGRESS,KIRKLAND,WA,98083,H0WA08046,2020
C00459297,HUIZENGA FOR CONGRESS,ZEELAND,MI,494641509,H0MI02094,2020
C00460055,FREDERICA S. WILSON FOR CONGRESS,MIAMI GARDENS,FL,33169,H0FL17068,2020
C00495507,MIKE BARKLEY FOR CONGRESS COMMITTEE,MANTECA,CA,953364848,H2CA00096,2020
C00498873,TONY CARDENAS FOR CONGRESS,WASHINGTON,DC,20003,H2CA28113,2020
C00499236,GEORGE HOLDING FOR CONGRESS INC.,RALEIGH,NC,27624,H2NC13110,2020
C00497321,VARGAS FOR CONGRESS,ENCINITAS,CA,92024,H2CA50026,2020
C00500421,BONAMICI FOR CONGRESS,BEAVERTON,OR,97075,H2OR01133,2020
C00498345,MULLIN FOR CONGRESS,MUSKOGEE,OK,74402,H2OK02083,2020
C00547240,MOULTON FOR CONGRESS,SALEM,MA,1970,H4MA06090,2020
C00460261,AL LAWSON FOR CONGRESS,TALLAHASSEE,FL,32301,H0FL02086,2020
C00461822,"CHUCK FLEISCHMANN FOR CONGRESS COMMITTEE, INC.",CHATTANOOGA,TN,37401,H0TN03254,2020
C00462143,MARTHA ROBY FOR CONGRESS,MONTGOMERY,AL,36101,H0AL02087,2020
C00462556,GRAVES FOR CONGRESS,CALHOUN,GA,30703,H0GA09030,2020
C00462697,GARAMENDI FOR CONGRESS,WASHINGTON,DC,200355322,H0CA10149,2020
C00462861,"KUSTER FOR CONGRESS, INC",CONCORD,NH,3302,H0NH02181,2020
C00464073,FRIENDS OF SCOTT DESJARLAIS,NASHVILLE,TN,372051482,H0TN04195,2020
C00464149,MO BROOKS FOR CONGRESS,HUNTSVILLE,AL,35802,H0AL05163,2020
C00464339,DUFFY FOR WISCONSIN,WAUSAU,WI,544020538,H0WI07051,2020
